Value,Date,year,month,day
563.34,2017-12-01,2017,12,1
563.34,2017-12-02,2017,12,2
563.34,2017-12-03,2017,12,3
563.34,2017-12-04,2017,12,4
563.34,2017-12-05,2017,12,5
563.34,2017-12-06,2017,12,6
563.34,2017-12-07,2017,12,7
563.34,2017-12-08,2017,12,8
563.34,2017-12-09,2017,12,9
563.34,2017-12-10,2017,12,10
563.34,2017-12-11,2017,12,11
563.34,2017-12-12,2017,12,12
563.34,2017-12-13,2017,12,13
563.34,2017-12-14,2017,12,14
563.34,2017-12-15,2017,12,15
563.34,2017-12-16,2017,12,16
563.34,2017-12-17,2017,12,17
563.34,2017-12-18,2017,12,18
563.34,2017-12-19,2017,12,19
563.34,2017-12-20,2017,12,20
563.34,2017-12-21,2017,12,21
563.34,2017-12-22,2017,12,22
563.34,2017-12-23,2017,12,23
563.34,2017-12-24,2017,12,24
563.34,2017-12-25,2017,12,25
563.34,2017-12-26,2017,12,26
563.34,2017-12-27,2017,12,27
563.34,2017-12-28,2017,12,28
563.34,2017-12-29,2017,12,29
563.34,2017-12-30,2017,12,30
563.34,2017-12-31,2017,12,31
563.56,2018-01-01,2018,1,1
563.56,2018-01-02,2018,1,2
563.56,2018-01-03,2018,1,3
563.56,2018-01-04,2018,1,4
563.56,2018-01-05,2018,1,5
563.56,2018-01-06,2018,1,6
563.56,2018-01-07,2018,1,7
563.56,2018-01-08,2018,1,8
563.56,2018-01-09,2018,1,9
563.56,2018-01-10,2018,1,10
563.56,2018-01-11,2018,1,11
563.56,2018-01-12,2018,1,12
563.56,2018-01-13,2018,1,13
563.56,2018-01-14,2018,1,14
563.56,2018-01-15,2018,1,15
563.56,2018-01-16,2018,1,16
563.56,2018-01-17,2018,1,17
563.56,2018-01-18,2018,1,18
563.56,2018-01-19,2018,1,19
563.56,2018-01-20,2018,1,20
563.56,2018-01-21,2018,1,21
563.56,2018-01-22,2018,1,22
563.56,2018-01-23,2018,1,23
563.56,2018-01-24,2018,1,24
563.56,2018-01-25,2018,1,25
563.56,2018-01-26,2018,1,26
563.56,2018-01-27,2018,1,27
563.56,2018-01-28,2018,1,28
563.56,2018-01-29,2018,1,29
563.56,2018-01-30,2018,1,30
563.56,2018-01-31,2018,1,31
564.87,2018-02-01,2018,2,1
564.87,2018-02-02,2018,2,2
564.87,2018-02-03,2018,2,3
564.87,2018-02-04,2018,2,4
564.87,2018-02-05,2018,2,5
564.87,2018-02-06,2018,2,6
564.87,2018-02-07,2018,2,7
564.87,2018-02-08,2018,2,8
564.87,2018-02-09,2018,2,9
564.87,2018-02-10,2018,2,10
564.87,2018-02-11,2018,2,11
564.87,2018-02-12,2018,2,12
564.87,2018-02-13,2018,2,13
564.87,2018-02-14,2018,2,14
564.87,2018-02-15,2018,2,15
564.87,2018-02-16,2018,2,16
564.87,2018-02-17,2018,2,17
564.87,2018-02-18,2018,2,18
564.87,2018-02-19,2018,2,19
564.87,2018-02-20,2018,2,20
564.87,2018-02-21,2018,2,21
564.87,2018-02-22,2018,2,22
564.87,2018-02-23,2018,2,23
564.87,2018-02-24,2018,2,24
564.87,2018-02-25,2018,2,25
564.87,2018-02-26,2018,2,26
564.87,2018-02-27,2018,2,27
564.87,2018-02-28,2018,2,28
593.21,2018-03-01,2018,3,1
593.21,2018-03-02,2018,3,2
593.21,2018-03-03,2018,3,3
593.21,2018-03-04,2018,3,4
593.21,2018-03-05,2018,3,5
593.21,2018-03-06,2018,3,6
593.21,2018-03-07,2018,3,7
593.21,2018-03-08,2018,3,8
593.21,2018-03-09,2018,3,9
593.21,2018-03-10,2018,3,10
593.21,2018-03-11,2018,3,11
593.21,2018-03-12,2018,3,12
593.21,2018-03-13,2018,3,13
593.21,2018-03-14,2018,3,14
593.21,2018-03-15,2018,3,15
593.21,2018-03-16,2018,3,16
593.21,2018-03-17,2018,3,17
593.21,2018-03-18,2018,3,18
593.21,2018-03-19,2018,3,19
593.21,2018-03-20,2018,3,20
593.21,2018-03-21,2018,3,21
593.21,2018-03-22,2018,3,22
593.21,2018-03-23,2018,3,23
593.21,2018-03-24,2018,3,24
593.21,2018-03-25,2018,3,25
593.21,2018-03-26,2018,3,26
593.21,2018-03-27,2018,3,27
593.21,2018-03-28,2018,3,28
593.21,2018-03-29,2018,3,29
593.21,2018-03-30,2018,3,30
593.21,2018-03-31,2018,3,31
579.84,2018-04-01,2018,4,1
579.84,2018-04-02,2018,4,2
579.84,2018-04-03,2018,4,3
579.84,2018-04-04,2018,4,4
579.84,2018-04-05,2018,4,5
579.84,2018-04-06,2018,4,6
579.84,2018-04-07,2018,4,7
579.84,2018-04-08,2018,4,8
579.84,2018-04-09,2018,4,9
579.84,2018-04-10,2018,4,10
579.84,2018-04-11,2018,4,11
579.84,2018-04-12,2018,4,12
579.84,2018-04-13,2018,4,13
579.84,2018-04-14,2018,4,14
579.84,2018-04-15,2018,4,15
579.84,2018-04-16,2018,4,16
579.84,2018-04-17,2018,4,17
579.84,2018-04-18,2018,4,18
579.84,2018-04-19,2018,4,19
579.84,2018-04-20,2018,4,20
579.84,2018-04-21,2018,4,21
579.84,2018-04-22,2018,4,22
579.84,2018-04-23,2018,4,23
579.84,2018-04-24,2018,4,24
579.84,2018-04-25,2018,4,25
579.84,2018-04-26,2018,4,26
579.84,2018-04-27,2018,4,27
579.84,2018-04-28,2018,4,28
579.84,2018-04-29,2018,4,29
579.84,2018-04-30,2018,4,30
584.81,2018-05-01,2018,5,1
584.81,2018-05-02,2018,5,2
584.81,2018-05-03,2018,5,3
584.81,2018-05-04,2018,5,4
584.81,2018-05-05,2018,5,5
584.81,2018-05-06,2018,5,6
584.81,2018-05-07,2018,5,7
584.81,2018-05-08,2018,5,8
584.81,2018-05-09,2018,5,9
584.81,2018-05-10,2018,5,10
584.81,2018-05-11,2018,5,11
584.81,2018-05-12,2018,5,12
584.81,2018-05-13,2018,5,13
584.81,2018-05-14,2018,5,14
584.81,2018-05-15,2018,5,15
584.81,2018-05-16,2018,5,16
584.81,2018-05-17,2018,5,17
584.81,2018-05-18,2018,5,18
584.81,2018-05-19,2018,5,19
584.81,2018-05-20,2018,5,20
584.81,2018-05-21,2018,5,21
584.81,2018-05-22,2018,5,22
584.81,2018-05-23,2018,5,23
584.81,2018-05-24,2018,5,24
584.81,2018-05-25,2018,5,25
584.81,2018-05-26,2018,5,26
584.81,2018-05-27,2018,5,27
584.81,2018-05-28,2018,5,28
584.81,2018-05-29,2018,5,29
584.81,2018-05-30,2018,5,30
584.81,2018-05-31,2018,5,31
588.24,2018-06-01,2018,6,1
588.24,2018-06-02,2018,6,2
588.24,2018-06-03,2018,6,3
588.24,2018-06-04,2018,6,4
588.24,2018-06-05,2018,6,5
588.24,2018-06-06,2018,6,6
588.24,2018-06-07,2018,6,7
588.24,2018-06-08,2018,6,8
588.24,2018-06-09,2018,6,9
588.24,2018-06-10,2018,6,10
588.24,2018-06-11,2018,6,11
588.24,2018-06-12,2018,6,12
588.24,2018-06-13,2018,6,13
588.24,2018-06-14,2018,6,14
588.24,2018-06-15,2018,6,15
588.24,2018-06-16,2018,6,16
588.24,2018-06-17,2018,6,17
588.24,2018-06-18,2018,6,18
588.24,2018-06-19,2018,6,19
588.24,2018-06-20,2018,6,20
588.24,2018-06-21,2018,6,21
588.24,2018-06-22,2018,6,22
588.24,2018-06-23,2018,6,23
588.24,2018-06-24,2018,6,24
588.24,2018-06-25,2018,6,25
588.24,2018-06-26,2018,6,26
588.24,2018-06-27,2018,6,27
588.24,2018-06-28,2018,6,28
588.24,2018-06-29,2018,6,29
588.24,2018-06-30,2018,6,30
629.07,2018-07-01,2018,7,1
629.07,2018-07-02,2018,7,2
629.07,2018-07-03,2018,7,3
629.07,2018-07-04,2018,7,4
629.07,2018-07-05,2018,7,5
629.07,2018-07-06,2018,7,6
629.07,2018-07-07,2018,7,7
629.07,2018-07-08,2018,7,8
629.07,2018-07-09,2018,7,9
629.07,2018-07-10,2018,7,10
629.07,2018-07-11,2018,7,11
629.07,2018-07-12,2018,7,12
629.07,2018-07-13,2018,7,13
629.07,2018-07-14,2018,7,14
629.07,2018-07-15,2018,7,15
629.07,2018-07-16,2018,7,16
629.07,2018-07-17,2018,7,17
629.07,2018-07-18,2018,7,18
629.07,2018-07-19,2018,7,19
629.07,2018-07-20,2018,7,20
629.07,2018-07-21,2018,7,21
629.07,2018-07-22,2018,7,22
629.07,2018-07-23,2018,7,23
629.07,2018-07-24,2018,7,24
629.07,2018-07-25,2018,7,25
629.07,2018-07-26,2018,7,26
629.07,2018-07-27,2018,7,27
629.07,2018-07-28,2018,7,28
629.07,2018-07-29,2018,7,29
629.07,2018-07-30,2018,7,30
629.07,2018-07-31,2018,7,31
617.62,2018-08-01,2018,8,1
617.62,2018-08-02,2018,8,2
617.62,2018-08-03,2018,8,3
617.62,2018-08-04,2018,8,4
617.62,2018-08-05,2018,8,5
617.62,2018-08-06,2018,8,6
617.62,2018-08-07,2018,8,7
617.62,2018-08-08,2018,8,8
617.62,2018-08-09,2018,8,9
617.62,2018-08-10,2018,8,10
617.62,2018-08-11,2018,8,11
617.62,2018-08-12,2018,8,12
617.62,2018-08-13,2018,8,13
617.62,2018-08-14,2018,8,14
617.62,2018-08-15,2018,8,15
617.62,2018-08-16,2018,8,16
617.62,2018-08-17,2018,8,17
617.62,2018-08-18,2018,8,18
617.62,2018-08-19,2018,8,19
617.62,2018-08-20,2018,8,20
617.62,2018-08-21,2018,8,21
617.62,2018-08-22,2018,8,22
617.62,2018-08-23,2018,8,23
617.62,2018-08-24,2018,8,24
617.62,2018-08-25,2018,8,25
617.62,2018-08-26,2018,8,26
617.62,2018-08-27,2018,8,27
617.62,2018-08-28,2018,8,28
617.62,2018-08-29,2018,8,29
617.62,2018-08-30,2018,8,30
617.62,2018-08-31,2018,8,31
616.81,2018-09-01,2018,9,1
616.81,2018-09-02,2018,9,2
616.81,2018-09-03,2018,9,3
616.81,2018-09-04,2018,9,4
616.81,2018-09-05,2018,9,5
616.81,2018-09-06,2018,9,6
616.81,2018-09-07,2018,9,7
616.81,2018-09-08,2018,9,8
616.81,2018-09-09,2018,9,9
616.81,2018-09-10,2018,9,10
616.81,2018-09-11,2018,9,11
616.81,2018-09-12,2018,9,12
616.81,2018-09-13,2018,9,13
616.81,2018-09-14,2018,9,14
616.81,2018-09-15,2018,9,15
616.81,2018-09-16,2018,9,16
616.81,2018-09-17,2018,9,17
616.81,2018-09-18,2018,9,18
616.81,2018-09-19,2018,9,19
616.81,2018-09-20,2018,9,20
616.81,2018-09-21,2018,9,21
616.81,2018-09-22,2018,9,22
616.81,2018-09-23,2018,9,23
616.81,2018-09-24,2018,9,24
616.81,2018-09-25,2018,9,25
616.81,2018-09-26,2018,9,26
616.81,2018-09-27,2018,9,27
616.81,2018-09-28,2018,9,28
616.81,2018-09-29,2018,9,29
616.81,2018-09-30,2018,9,30
667.63,2018-10-01,2018,10,1
667.63,2018-10-02,2018,10,2
667.63,2018-10-03,2018,10,3
667.63,2018-10-04,2018,10,4
667.63,2018-10-05,2018,10,5
667.63,2018-10-06,2018,10,6
667.63,2018-10-07,2018,10,7
667.63,2018-10-08,2018,10,8
667.63,2018-10-09,2018,10,9
667.63,2018-10-10,2018,10,10
667.63,2018-10-11,2018,10,11
667.63,2018-10-12,2018,10,12
667.63,2018-10-13,2018,10,13
667.63,2018-10-14,2018,10,14
667.63,2018-10-15,2018,10,15
667.63,2018-10-16,2018,10,16
667.63,2018-10-17,2018,10,17
667.63,2018-10-18,2018,10,18
667.63,2018-10-19,2018,10,19
667.63,2018-10-20,2018,10,20
667.63,2018-10-21,2018,10,21
667.63,2018-10-22,2018,10,22
667.63,2018-10-23,2018,10,23
667.63,2018-10-24,2018,10,24
667.63,2018-10-25,2018,10,25
667.63,2018-10-26,2018,10,26
667.63,2018-10-27,2018,10,27
667.63,2018-10-28,2018,10,28
667.63,2018-10-29,2018,10,29
667.63,2018-10-30,2018,10,30
667.63,2018-10-31,2018,10,31
729.14,2018-11-01,2018,11,1
729.14,2018-11-02,2018,11,2
729.14,2018-11-03,2018,11,3
729.14,2018-11-04,2018,11,4
729.14,2018-11-05,2018,11,5
729.14,2018-11-06,2018,11,6
729.14,2018-11-07,2018,11,7
729.14,2018-11-08,2018,11,8
729.14,2018-11-09,2018,11,9
729.14,2018-11-10,2018,11,10
729.14,2018-11-11,2018,11,11
729.14,2018-11-12,2018,11,12
729.14,2018-11-13,2018,11,13
729.14,2018-11-14,2018,11,14
729.14,2018-11-15,2018,11,15
729.14,2018-11-16,2018,11,16
729.14,2018-11-17,2018,11,17
729.14,2018-11-18,2018,11,18
729.14,2018-11-19,2018,11,19
729.14,2018-11-20,2018,11,20
729.14,2018-11-21,2018,11,21
729.14,2018-11-22,2018,11,22
729.14,2018-11-23,2018,11,23
729.14,2018-11-24,2018,11,24
729.14,2018-11-25,2018,11,25
729.14,2018-11-26,2018,11,26
729.14,2018-11-27,2018,11,27
729.14,2018-11-28,2018,11,28
729.14,2018-11-29,2018,11,29
729.14,2018-11-30,2018,11,30
713.76,2018-12-01,2018,12,1
713.76,2018-12-02,2018,12,2
713.76,2018-12-03,2018,12,3
713.76,2018-12-04,2018,12,4
713.76,2018-12-05,2018,12,5
713.76,2018-12-06,2018,12,6
713.76,2018-12-07,2018,12,7
713.76,2018-12-08,2018,12,8
713.76,2018-12-09,2018,12,9
713.76,2018-12-10,2018,12,10
713.76,2018-12-11,2018,12,11
713.76,2018-12-12,2018,12,12
713.76,2018-12-13,2018,12,13
713.76,2018-12-14,2018,12,14
713.76,2018-12-15,2018,12,15
713.76,2018-12-16,2018,12,16
713.76,2018-12-17,2018,12,17
713.76,2018-12-18,2018,12,18
713.76,2018-12-19,2018,12,19
713.76,2018-12-20,2018,12,20
713.76,2018-12-21,2018,12,21
713.76,2018-12-22,2018,12,22
713.76,2018-12-23,2018,12,23
713.76,2018-12-24,2018,12,24
713.76,2018-12-25,2018,12,25
713.76,2018-12-26,2018,12,26
713.76,2018-12-27,2018,12,27
713.76,2018-12-28,2018,12,28
713.76,2018-12-29,2018,12,29
713.76,2018-12-30,2018,12,30
713.76,2018-12-31,2018,12,31
674.33,2019-01-01,2019,1,1
674.33,2019-01-02,2019,1,2
674.33,2019-01-03,2019,1,3
674.33,2019-01-04,2019,1,4
674.33,2019-01-05,2019,1,5
674.33,2019-01-06,2019,1,6
674.33,2019-01-07,2019,1,7
674.33,2019-01-08,2019,1,8
674.33,2019-01-09,2019,1,9
674.33,2019-01-10,2019,1,10
674.33,2019-01-11,2019,1,11
674.33,2019-01-12,2019,1,12
674.33,2019-01-13,2019,1,13
674.33,2019-01-14,2019,1,14
674.33,2019-01-15,2019,1,15
674.33,2019-01-16,2019,1,16
674.33,2019-01-17,2019,1,17
674.33,2019-01-18,2019,1,18
674.33,2019-01-19,2019,1,19
674.33,2019-01-20,2019,1,20
674.33,2019-01-21,2019,1,21
674.33,2019-01-22,2019,1,22
674.33,2019-01-23,2019,1,23
674.33,2019-01-24,2019,1,24
674.33,2019-01-25,2019,1,25
674.33,2019-01-26,2019,1,26
674.33,2019-01-27,2019,1,27
674.33,2019-01-28,2019,1,28
674.33,2019-01-29,2019,1,29
674.33,2019-01-30,2019,1,30
674.33,2019-01-31,2019,1,31
620.15,2019-02-01,2019,2,1
620.15,2019-02-02,2019,2,2
620.15,2019-02-03,2019,2,3
620.15,2019-02-04,2019,2,4
620.15,2019-02-05,2019,2,5
620.15,2019-02-06,2019,2,6
620.15,2019-02-07,2019,2,7
620.15,2019-02-08,2019,2,8
620.15,2019-02-09,2019,2,9
620.15,2019-02-10,2019,2,10
620.15,2019-02-11,2019,2,11
620.15,2019-02-12,2019,2,12
620.15,2019-02-13,2019,2,13
620.15,2019-02-14,2019,2,14
620.15,2019-02-15,2019,2,15
620.15,2019-02-16,2019,2,16
620.15,2019-02-17,2019,2,17
620.15,2019-02-18,2019,2,18
620.15,2019-02-19,2019,2,19
620.15,2019-02-20,2019,2,20
620.15,2019-02-21,2019,2,21
620.15,2019-02-22,2019,2,22
620.15,2019-02-23,2019,2,23
620.15,2019-02-24,2019,2,24
620.15,2019-02-25,2019,2,25
620.15,2019-02-26,2019,2,26
620.15,2019-02-27,2019,2,27
620.15,2019-02-28,2019,2,28
619.25,2019-03-01,2019,3,1
619.25,2019-03-02,2019,3,2
619.25,2019-03-03,2019,3,3
619.25,2019-03-04,2019,3,4
619.25,2019-03-05,2019,3,5
619.25,2019-03-06,2019,3,6
619.25,2019-03-07,2019,3,7
619.25,2019-03-08,2019,3,8
619.25,2019-03-09,2019,3,9
619.25,2019-03-10,2019,3,10
619.25,2019-03-11,2019,3,11
619.25,2019-03-12,2019,3,12
619.25,2019-03-13,2019,3,13
619.25,2019-03-14,2019,3,14
619.25,2019-03-15,2019,3,15
619.25,2019-03-16,2019,3,16
619.25,2019-03-17,2019,3,17
619.25,2019-03-18,2019,3,18
619.25,2019-03-19,2019,3,19
619.25,2019-03-20,2019,3,20
619.25,2019-03-21,2019,3,21
619.25,2019-03-22,2019,3,22
619.25,2019-03-23,2019,3,23
619.25,2019-03-24,2019,3,24
619.25,2019-03-25,2019,3,25
619.25,2019-03-26,2019,3,26
619.25,2019-03-27,2019,3,27
619.25,2019-03-28,2019,3,28
619.25,2019-03-29,2019,3,29
619.25,2019-03-30,2019,3,30
619.25,2019-03-31,2019,3,31
639.19,2019-04-01,2019,4,1
639.19,2019-04-02,2019,4,2
639.19,2019-04-03,2019,4,3
639.19,2019-04-04,2019,4,4
639.19,2019-04-05,2019,4,5
639.19,2019-04-06,2019,4,6
639.19,2019-04-07,2019,4,7
639.19,2019-04-08,2019,4,8
639.19,2019-04-09,2019,4,9
639.19,2019-04-10,2019,4,10
639.19,2019-04-11,2019,4,11
639.19,2019-04-12,2019,4,12
639.19,2019-04-13,2019,4,13
639.19,2019-04-14,2019,4,14
639.19,2019-04-15,2019,4,15
639.19,2019-04-16,2019,4,16
639.19,2019-04-17,2019,4,17
639.19,2019-04-18,2019,4,18
639.19,2019-04-19,2019,4,19
639.19,2019-04-20,2019,4,20
639.19,2019-04-21,2019,4,21
639.19,2019-04-22,2019,4,22
639.19,2019-04-23,2019,4,23
639.19,2019-04-24,2019,4,24
639.19,2019-04-25,2019,4,25
639.19,2019-04-26,2019,4,26
639.19,2019-04-27,2019,4,27
639.19,2019-04-28,2019,4,28
639.19,2019-04-29,2019,4,29
639.19,2019-04-30,2019,4,30
650.39,2019-05-01,2019,5,1
650.39,2019-05-02,2019,5,2
650.39,2019-05-03,2019,5,3
650.39,2019-05-04,2019,5,4
650.39,2019-05-05,2019,5,5
650.39,2019-05-06,2019,5,6
650.39,2019-05-07,2019,5,7
650.39,2019-05-08,2019,5,8
650.39,2019-05-09,2019,5,9
650.39,2019-05-10,2019,5,10
650.39,2019-05-11,2019,5,11
650.39,2019-05-12,2019,5,12
650.39,2019-05-13,2019,5,13
650.39,2019-05-14,2019,5,14
650.39,2019-05-15,2019,5,15
650.39,2019-05-16,2019,5,16
650.39,2019-05-17,2019,5,17
650.39,2019-05-18,2019,5,18
650.39,2019-05-19,2019,5,19
650.39,2019-05-20,2019,5,20
650.39,2019-05-21,2019,5,21
650.39,2019-05-22,2019,5,22
650.39,2019-05-23,2019,5,23
650.39,2019-05-24,2019,5,24
650.39,2019-05-25,2019,5,25
650.39,2019-05-26,2019,5,26
650.39,2019-05-27,2019,5,27
650.39,2019-05-28,2019,5,28
650.39,2019-05-29,2019,5,29
650.39,2019-05-30,2019,5,30
650.39,2019-05-31,2019,5,31
669.26,2019-06-01,2019,6,1
669.26,2019-06-02,2019,6,2
669.26,2019-06-03,2019,6,3
669.26,2019-06-04,2019,6,4
669.26,2019-06-05,2019,6,5
669.26,2019-06-06,2019,6,6
669.26,2019-06-07,2019,6,7
669.26,2019-06-08,2019,6,8
669.26,2019-06-09,2019,6,9
669.26,2019-06-10,2019,6,10
669.26,2019-06-11,2019,6,11
669.26,2019-06-12,2019,6,12
669.26,2019-06-13,2019,6,13
669.26,2019-06-14,2019,6,14
669.26,2019-06-15,2019,6,15
669.26,2019-06-16,2019,6,16
669.26,2019-06-17,2019,6,17
669.26,2019-06-18,2019,6,18
669.26,2019-06-19,2019,6,19
669.26,2019-06-20,2019,6,20
669.26,2019-06-21,2019,6,21
669.26,2019-06-22,2019,6,22
669.26,2019-06-23,2019,6,23
669.26,2019-06-24,2019,6,24
669.26,2019-06-25,2019,6,25
669.26,2019-06-26,2019,6,26
669.26,2019-06-27,2019,6,27
669.26,2019-06-28,2019,6,28
669.26,2019-06-29,2019,6,29
669.26,2019-06-30,2019,6,30
696.68,2019-07-01,2019,7,1
696.68,2019-07-02,2019,7,2
696.68,2019-07-03,2019,7,3
696.68,2019-07-04,2019,7,4
696.68,2019-07-05,2019,7,5
696.68,2019-07-06,2019,7,6
696.68,2019-07-07,2019,7,7
696.68,2019-07-08,2019,7,8
696.68,2019-07-09,2019,7,9
696.68,2019-07-10,2019,7,10
696.68,2019-07-11,2019,7,11
696.68,2019-07-12,2019,7,12
696.68,2019-07-13,2019,7,13
696.68,2019-07-14,2019,7,14
696.68,2019-07-15,2019,7,15
696.68,2019-07-16,2019,7,16
696.68,2019-07-17,2019,7,17
696.68,2019-07-18,2019,7,18
696.68,2019-07-19,2019,7,19
696.68,2019-07-20,2019,7,20
696.68,2019-07-21,2019,7,21
696.68,2019-07-22,2019,7,22
696.68,2019-07-23,2019,7,23
696.68,2019-07-24,2019,7,24
696.68,2019-07-25,2019,7,25
696.68,2019-07-26,2019,7,26
696.68,2019-07-27,2019,7,27
696.68,2019-07-28,2019,7,28
696.68,2019-07-29,2019,7,29
696.68,2019-07-30,2019,7,30
696.68,2019-07-31,2019,7,31
